time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-17 09:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,106.0,0.0
2024-01-17 12:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 12:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,159.0,0.0
2024-01-17 15:30:00-05:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 15:30:00-05:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,238.0,0.0
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,495.4110076904297,238.0,0.0
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,495.4110076904297,106.0,0.0
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,495.4110076904297,159.0,0.0
2024-02-12 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,88.0,0.0
2024-02-12 12:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 12:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,44.0,0.0
2024-02-12 15:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 15:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,22.0,0.0
2024-03-04 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,512.030029296875,11.0,0.0
2024-03-04 12:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 12:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,512.030029296875,5.0,0.0
2024-03-04 15:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 15:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,512.030029296875,3.0,0.0
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,day,0.0,1,stock,514.3699951171875,173.0,0.0
2024-04-11 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,514.3699951171875,1.0,0.0
2024-04-11 12:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 12:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,514.3699951171875,88.0,0.0
2024-04-11 15:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 15:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,514.3699951171875,132.0,0.0
